id,Accession,ReleaseDate
1,COVID1007_barcode55,4/7/2020
2,COVID1007_barcode57,4/8/2020
3,COVID1007_barcode59,4/9/2020
4,COVID1008_barcode49,4/11/2020
5,COVID1008_barcode62,4/14/2020
6,COVID1009_barcode12,4/21/2020
7,COVID1009_barcode19,4/22/2020
8,COVID1009_barcode25,4/23/2020
9,COVID1009_barcode26,4/23/2020
10,COVID1009_barcode49,4/27/2020
11,COVID1009_barcode56,4/30/2020
12,COVID1009_barcode61,5/1/2020
13,COVID1009_barcode66,5/2/2020
14,COVID1010_barcode03,5/4/2020
15,COVID1010_barcode21,5/9/2020
16,COVID1010_barcode22,5/9/2020
17,COVID1010_barcode27,5/11/2020
18,COVID1010_barcode39,5/15/2020
19,COVID1010_barcode45,5/17/2020
20,COVID1010_barcode48,5/18/2020
21,COVID1011_barcode25,6/10/2020
